timestamp,prod_id,station_id,sensor,value,station_id,prodid,part_id
05:31.4,ACME123,234,A,-0.799545863,234,ACME123,2f10d3bf-e5ed-450b-ba05-ea51b9dbc14c
05:33.7,ACME123,234,T_max,58.52762443,,ACME123,2f10d3bf-e5ed-450b-ba05-ea51b9dbc14c
05:29.4,ACME123,235,tol,-0.388959181,235,ACME123,2f10d3bf-e5ed-450b-ba05-ea51b9dbc14c
05:31.6,ACME123,235,Rückführkrft ballist.,15.81086033,235,ACME123,2f10d3bf-e5ed-450b-ba05-ea51b9dbc14c
05:33.1,ACME123,235,r_nul,9,235,ACME123,2f10d3bf-e5ed-450b-ba05-ea51b9dbc14c
05:33.5,ACME123,235,STATUS,OK,235,ACME123,2f10d3bf-e5ed-450b-ba05-ea51b9dbc14c
05:49.0,ACME123,234,A,-0.013833051,234,ACME123,e2ec58a7-274a-41a6-9893-34ca96f1e17a
05:39.6,ACME123,,tol,1.191517537,235,ACME123,e2ec58a7-274a-41a6-9893-34ca96f1e17a
05:40.1,ACME123,235,Rückführkrft ballist.,19.22737103,235,ACME123,e2ec58a7-274a-41a6-9893-34ca96f1e17a
05:45.2,ACME123,235,r_nul,5,235,ACME123,e2ec58a7-274a-41a6-9893-34ca96f1e17a
05:45.6,ACME123,235,STATUS,OK,235,ACME123,e2ec58a7-274a-41a6-9893-34ca96f1e17a
05:49.5,ACME123,234,A,-0.028555796,234,ACME123,509cab7f-f18b-4310-934c-c4f19781b0d6
05:49.6,ACME123,234,T_max,54.4140451,234,ACME123,509cab7f-f18b-4310-934c-c4f19781b0d6
05:51.3,ACME123,234,C,0,234,ACME123,509cab7f-f18b-4310-934c-c4f19781b0d6
05:54.3,ACME123,234,STATUS,OK,234,ACME123,509cab7f-f18b-4310-934c-c4f19781b0d6
05:50.5,ACME123,235,tol,-1.212287529,235,ACME123,509cab7f-f18b-4310-934c-c4f19781b0d6
05:50.9,ACME123,235,Rückführkrft ballist.,23.76597676,235,ACME123,509cab7f-f18b-4310-934c-c4f19781b0d6
05:51.7,ACME123,235,r_nul,3,235,ACME123,509cab7f-f18b-4310-934c-c4f19781b0d6
05:53.4,ACME123,235,STATUS,OK,235,ACME123,509cab7f-f18b-4310-934c-c4f19781b0d6
